candidate,lieutenant_governor,party,status,home_jurisdiction,lt_home_jurisdiction,filed_date,committee_name,website,facebook,x,source_url,notes,is_active_republican,has_website,has_social,days_on_file,filed_age_log,ticket_freshness_flag,last_updated
Carl A. Brunner Jr.,Kevin L. Rhodes Sr.,Republican,Active,Carroll County,Baltimore City,2025-07-14,Commitee of Carl Brunner Jr.,www.carlbrunnerjrforgovernor.com,facebook.com/Kevin Rhodes,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.,True,True,True,310,5.739792912179234,mature,2026-05-20
L. D. Burkindine,Jeremy M. Shifflett,Republican,Active,Queen Anne's County,Anne Arundel County,2026-02-18,L. D. (Lawrence) Burkindine for Governor,www.ldburkindineforgovernor.com,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.,True,True,False,91,4.5217885770490405,mature,2026-05-20
Dan Cox,Rob Krop,Republican,Active,Frederick County,Frederick County,2026-01-30,Dan Cox for Governor,www.dancoxforgovernor.com,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.,True,True,False,110,4.709530201312334,mature,2026-05-20
Ed Hale,Tyrone Keys Jr.,Republican,Active,Talbot County,Baltimore County,2026-02-09,Hale for Gov,www.haleforgov.com,Facebook.com/Ed Hale for Governor,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.,True,True,True,100,4.61512051684126,mature,2026-05-20
Douglas Larcomb,Martina D. Duncan,Republican,Active,Carroll County,Frederick County,2026-02-24,People Of Maryland For Douglas Larcomb - Governor,,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.,True,False,False,85,4.454347296253507,mature,2026-05-20
John A. Myrick,Brenda J. Thiam,Republican,Active,Prince George's County,Washington County,2025-02-26,John Myrick for Governor,www.johnmyrickformdgovernor.org,facebook.com/profilep2p?id=61571896501886,@JohnMyrickforMD,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.,True,True,True,448,6.1070228877422545,mature,2026-05-20
Michael Oakes,Ronald W. Abend,Republican,Active,Carroll County,Carroll County,2026-02-11,Oakes for Governor,,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.,True,False,False,98,4.59511985013459,mature,2026-05-20
Nancy Jane Taylor,"Rachel Hannah ""Mohawk"" Swift",Republican,Active,Washington County,Washington County,2026-02-17,Governor Taylor Won,,Facebook.com/MohawkSwift,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.,True,False,True,92,4.532599493153256,mature,2026-05-20
Shannon Wright,Reba A. Hawkins,Republican,Active,Baltimore City,Baltimore City,2026-03-12,Wright4Maryland (Shannon),wright4Baltimore.com,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.,True,True,False,69,4.248495242049359,mature,2026-05-20
Kurt Wedekind,Shannon Wright,Republican,Disqualified,Carroll County,Baltimore City,2025-09-24,Friends of Kurt Wedekind,www.Kurtwedekind.com,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE list marks this former Republican ticket disqualified on March 6 2026; excluded from active forecast.,False,True,False,238,5.476463551931511,mature,2026-05-20
