event_date,candidate,event_type,impact_points,source_url,notes,days_old,event_weight,weighted_impact_points,positive_signal,negative_signal,last_updated
2026-05-19,Douglas Larcomb,debate_participated,1.5,https://marylandmatters.org/2026/05/20/trio-of-gop-candidates-for-governor-out-of-nine-total-meet-in-debate/,MPT and WYPR debate featured Larcomb Myrick and Wright among the nine active Republican candidates.,5,0.9438743126816935,1.4158114690225403,1.4158114690225403,0.0,2026-05-24
2026-05-19,John A. Myrick,debate_participated,1.5,https://marylandmatters.org/2026/05/20/trio-of-gop-candidates-for-governor-out-of-nine-total-meet-in-debate/,MPT and WYPR debate featured Larcomb Myrick and Wright among the nine active Republican candidates.,5,0.9438743126816935,1.4158114690225403,1.4158114690225403,0.0,2026-05-24
2026-05-19,Shannon Wright,debate_participated,1.5,https://marylandmatters.org/2026/05/20/trio-of-gop-candidates-for-governor-out-of-nine-total-meet-in-debate/,MPT and WYPR debate featured Larcomb Myrick and Wright among the nine active Republican candidates.,5,0.9438743126816935,1.4158114690225403,1.4158114690225403,0.0,2026-05-24
2026-03-16,John A. Myrick,endorsement_received,1.5,https://www.mcgop.com/press_release_former_state_senator_gail_bates_endorses_john_myrick_for_governor,Montgomery County Republican Party posted that former Maryland state senator Gail Bates endorsed Myrick for governor after a Howard County Republican Club meeting.,69,0.45062523130541515,0.6759378469581228,0.6759378469581228,0.0,2026-05-24
2026-02-03,Dan Cox,trump_alignment,1.25,https://www.forevercumberland.com/2026/02/03/democratic-party-reacts-to-cox-entry-in-governor-race/,Coverage noted Trump endorsed Cox's 2022 run and that the relationship has not been disavowed.,110,0.2806155120773433,0.3507693900966791,0.3507693900966791,0.0,2026-05-24
2026-04-28,Ed Hale,anti_trump_posture,-0.75,https://mdbaynews.com/2026/04/28/maryland-gop-primary-2026-hale-cox-myrick-analysis/,Coverage noted Hale has said a Trump endorsement would be a liability for his campaign.,26,0.7405487761432822,-0.5554115821074617,0.0,0.5554115821074617,2026-05-24
2026-05-19,Dan Cox,debate_absent,-1.0,https://marylandmatters.org/2026/05/20/trio-of-gop-candidates-for-governor-out-of-nine-total-meet-in-debate/,Maryland Matters reported Cox was among the missing Republicans and did not respond to a request for comment.,5,0.9438743126816935,-0.9438743126816935,0.0,0.9438743126816935,2026-05-24
2026-05-19,Ed Hale,debate_absent,-0.5,https://marylandmatters.org/2026/05/20/trio-of-gop-candidates-for-governor-out-of-nine-total-meet-in-debate/,Hale skipped the debate; campaign said his time was better spent on the ground with Marylanders.,5,0.9438743126816935,-0.47193715634084676,0.0,0.47193715634084676,2026-05-24
2026-05-20,Dan Cox,prior_nominee,8.0,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_results_2022_1_P.html,Cox won the 2022 Maryland Republican gubernatorial primary with 52.00 percent.,4,0.9548416039104165,7.638732831283332,7.638732831283332,0.0,2026-05-24
2026-05-20,Shannon Wright,prior_nominee,2.0,https://marylandmatters.org/2026/05/20/trio-of-gop-candidates-for-governor-out-of-nine-total-meet-in-debate/,Maryland Matters identified Wright as the Republican nominee for Baltimore mayor in 2016 and 2020.,4,0.9548416039104165,1.909683207820833,1.909683207820833,0.0,2026-05-24
2026-05-20,Ed Hale,party_switch_penalty,-2.0,https://marylandmatters.org/2026/05/20/trio-of-gop-candidates-for-governor-out-of-nine-total-meet-in-debate/,Maryland Matters described Hale as a lifelong Democrat who recently switched parties.,4,0.9548416039104165,-1.909683207820833,0.0,1.909683207820833,2026-05-24
