county,cox_votes,ficker_votes,schulz_votes,werner_votes,source_url,notes,total_2022_gop_votes,cox_share,schulz_share,cox_margin_vs_schulz,county_lane,jurisdiction_key,county_weight,last_updated
Allegany,4469,399,2259,99,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.,7226,0.6184611126487684,0.3126210905065043,0.3058400221422641,cox_base,Allegany,0.024489270269903888,2026-05-26
Anne Arundel,18039,711,18581,513,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.,37844,0.4766673713138146,0.4909893245957087,-0.014321953281894118,competitive_gop_primary,Anne Arundel,0.12825518185638565,2026-05-26
Baltimore City,1771,168,2010,156,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.,4105,0.43142509135200974,0.48964677222898906,-0.05822168087697932,establishment_lean,Baltimore City,0.013912047392465465,2026-05-26
Baltimore County,18129,842,18247,649,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.,37867,0.4787545884279188,0.4818707581799456,-0.0031161697520268317,competitive_gop_primary,Baltimore County,0.1283331299903751,2026-05-26
Calvert,6081,335,3628,186,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.,10230,0.5944281524926687,0.35464320625610946,0.23978494623655922,cox_base,Calvert,0.034669974378787265,2026-05-26
Caroline,2533,49,1409,39,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.,4030,0.6285359801488833,0.34962779156327545,0.2789081885856079,cox_base,Caroline,0.01365786869467377,2026-05-26
Carroll,10462,404,9997,268,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.,21131,0.495101982868771,0.473096398656003,0.022005584212767992,competitive_gop_primary,Carroll,0.07161400084048422,2026-05-26
Cecil,4998,203,3487,128,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.,8816,0.566923774954628,0.39553085299455537,0.1713929219600726,cox_base,Cecil,0.02987785866308783,2026-05-26
Charles,3473,176,1709,127,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.,5485,0.6331814038286235,0.3115770282588879,0.32160437556973565,cox_base,Charles,0.01858893543183266,2026-05-26
Dorchester,2475,75,916,42,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.,3508,0.7055302166476625,0.2611174458380844,0.4444127708095781,cox_base,Dorchester,0.01188878495804357,2026-05-26
