county,cox_votes,ficker_votes,schulz_votes,werner_votes,source_url,notes
Allegany,4469,399,2259,99,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Anne Arundel,18039,711,18581,513,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Baltimore City,1771,168,2010,156,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Baltimore County,18129,842,18247,649,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Calvert,6081,335,3628,186,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Caroline,2533,49,1409,39,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Carroll,10462,404,9997,268,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Cecil,4998,203,3487,128,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Charles,3473,176,1709,127,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Dorchester,2475,75,916,42,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Frederick,10895,418,9665,229,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Garrett,3474,318,1455,55,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Harford,15669,521,12876,390,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Howard,6320,361,8218,303,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Kent,921,48,1096,31,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Montgomery,10880,1300,10643,683,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Prince George's,3466,471,2607,357,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Queen Anne's,3237,62,2744,51,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Saint Mary's,6264,354,4692,309,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Somerset,1664,52,356,33,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Talbot,2463,92,2077,44,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Washington,7675,525,5224,199,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Wicomico,4517,227,2433,109,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
Worcester,3548,157,1973,75,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Official 2022 county Republican governor primary results.
