pollster,sponsor,start_date,end_date,release_date,sample_size,population,measure,option,pct,source_url,notes
Gonzales Research & Media,Statewide Maryland poll,,,2025-01-07,808,likely voters,job_approval,approve,61.0,https://marylandmatters.org/2025/01/07/poll-taxes-to-erase-deficits-pose-political-problem-for-moore/,January 2025 Gonzales statewide poll on Wes Moore approval.
Gonzales Research & Media,Statewide Maryland poll,,,2025-01-07,808,likely voters,job_approval,disapprove,28.0,https://marylandmatters.org/2025/01/07/poll-taxes-to-erase-deficits-pose-political-problem-for-moore/,January 2025 Gonzales statewide poll on Wes Moore approval.
Gonzales Research & Media,Statewide Maryland poll,,,2025-01-07,808,likely voters,job_approval,no_opinion,11.0,https://marylandmatters.org/2025/01/07/poll-taxes-to-erase-deficits-pose-political-problem-for-moore/,January 2025 Gonzales statewide poll on Wes Moore approval.
Gonzales Research & Media,Statewide Maryland poll,2025-03-05,2025-03-09,2025-03-12,804,likely voters,job_approval,approve,55.0,https://marylandmatters.org/2025/03/12/poll-moore-job-approval-above-50-but-continues-to-slide/,March 2025 Gonzales statewide poll on Wes Moore approval.
Gonzales Research & Media,Statewide Maryland poll,2025-03-05,2025-03-09,2025-03-12,804,likely voters,job_approval,disapprove,36.0,https://marylandmatters.org/2025/03/12/poll-moore-job-approval-above-50-but-continues-to-slide/,March 2025 Gonzales statewide poll on Wes Moore approval.
Gonzales Research & Media,Statewide Maryland poll,2025-03-05,2025-03-09,2025-03-12,804,likely voters,job_approval,no_opinion,9.0,https://marylandmatters.org/2025/03/12/poll-moore-job-approval-above-50-but-continues-to-slide/,March 2025 Gonzales statewide poll on Wes Moore approval.
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,job_approval,approve,52.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on Wes Moore approval.
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,job_approval,disapprove,44.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on Wes Moore approval.
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,job_approval,no_opinion,4.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on Wes Moore approval.
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,direction_of_state,right_direction,40.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on state direction.
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,direction_of_state,wrong_direction,48.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on state direction.
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,direction_of_state,no_opinion,12.0,https://marylandmatters.org/2025/11/04/poll-moore-job-approval-remains-steady-even-as-independent-voters-trend-away/,November 2025 UMBC poll on state direction.
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,matchup,reelect_moore,31.0,https://marylandmatters.org/2025/11/05/poll-nearly-half-of-voters-back-moore-as-field-of-challengers-continues-to-develop/,November 2025 UMBC generic governor matchup.
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,matchup,republican_candidate,31.0,https://marylandmatters.org/2025/11/05/poll-nearly-half-of-voters-back-moore-as-field-of-challengers-continues-to-develop/,November 2025 UMBC generic governor matchup.
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,matchup,third_party_candidate,18.0,https://marylandmatters.org/2025/11/05/poll-nearly-half-of-voters-back-moore-as-field-of-challengers-continues-to-develop/,November 2025 UMBC generic governor matchup.
UMBC Institute of Politics,Maryland adults poll,,,2025-11-04,810,Maryland adults,matchup,undecided,20.0,https://marylandmatters.org/2025/11/05/poll-nearly-half-of-voters-back-moore-as-field-of-challengers-continues-to-develop/,November 2025 UMBC generic governor matchup.
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,job_approval,approve,51.7,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales statewide poll on Wes Moore approval.
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,job_approval,disapprove,41.0,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales statewide poll on Wes Moore approval.
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,job_approval,no_opinion,7.3,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales statewide poll on Wes Moore approval.
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,direction_of_state,right_direction,47.0,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales poll on state direction.
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,direction_of_state,wrong_direction,44.0,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales poll on state direction.
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,direction_of_state,no_opinion,9.0,https://marylandmatters.org/2026/01/13/poll-moore-approval-numbers-continue-downward-trend-even-as-most-voters-would-ok-second-term/,January 2026 Gonzales poll on state direction.
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,matchup,reelect_moore,49.9,https://marylandmatters.org/wp-content/uploads/2026/01/260113-Gonzales_20Poll_2C_20Part_201_20-_20January_202026.pdf,January 2026 Gonzales governor re-elect matchup.
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,matchup,republican_challenger,28.0,https://marylandmatters.org/wp-content/uploads/2026/01/260113-Gonzales_20Poll_2C_20Part_201_20-_20January_202026.pdf,January 2026 Gonzales governor re-elect matchup.
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,matchup,third_party_candidate,5.8,https://marylandmatters.org/wp-content/uploads/2026/01/260113-Gonzales_20Poll_2C_20Part_201_20-_20January_202026.pdf,January 2026 Gonzales governor re-elect matchup.
Gonzales Research & Media,Statewide Maryland poll,,,2026-01-13,808,likely voters,matchup,undecided,16.3,https://marylandmatters.org/wp-content/uploads/2026/01/260113-Gonzales_20Poll_2C_20Part_201_20-_20January_202026.pdf,January 2026 Gonzales governor re-elect matchup.
UMBC Institute of Politics,Maryland adults poll,2026-03-17,2026-03-22,2026-04-01,804,Maryland adults,job_approval,approve,48.0,https://marylandmatters.org/2026/04/01/moore-job-approval-falls-below-50-for-the-first-time/,April 2026 UMBC poll on Wes Moore approval.
UMBC Institute of Politics,Maryland adults poll,2026-03-17,2026-03-22,2026-04-01,804,Maryland adults,job_approval,disapprove,42.0,https://marylandmatters.org/2026/04/01/moore-job-approval-falls-below-50-for-the-first-time/,April 2026 UMBC poll on Wes Moore approval.
UMBC Institute of Politics,Maryland adults poll,2026-03-17,2026-03-22,2026-04-01,804,Maryland adults,job_approval,no_opinion,9.0,https://marylandmatters.org/2026/04/01/moore-job-approval-falls-below-50-for-the-first-time/,April 2026 UMBC poll on Wes Moore approval.
UMBC Institute of Politics,Maryland adults poll,2026-03-17,2026-03-22,2026-04-01,804,Maryland adults,direction_of_state,right_direction,41.0,https://marylandmatters.org/2026/04/01/moore-job-approval-falls-below-50-for-the-first-time/,April 2026 UMBC poll on state direction; article described nearly 6 in 10 as wrong direction.
UMBC Institute of Politics,Maryland adults poll,2026-03-17,2026-03-22,2026-04-01,804,Maryland adults,direction_of_state,wrong_direction,59.0,https://marylandmatters.org/2026/04/01/moore-job-approval-falls-below-50-for-the-first-time/,April 2026 UMBC poll on state direction; article described nearly 6 in 10 as wrong direction.
