candidate,lieutenant_governor,party,status,home_jurisdiction,lt_home_jurisdiction,filed_date,committee_name,website,facebook,x,source_url,notes
Carl A. Brunner Jr.,Kevin L. Rhodes Sr.,Republican,Active,Carroll County,Baltimore City,2025-07-14,Commitee of Carl Brunner Jr.,www.carlbrunnerjrforgovernor.com,facebook.com/Kevin Rhodes,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.
L. D. Burkindine,Jeremy M. Shifflett,Republican,Active,Queen Anne's County,Anne Arundel County,2026-02-18,L. D. (Lawrence) Burkindine for Governor,www.ldburkindineforgovernor.com,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.
Dan Cox,Rob Krop,Republican,Active,Frederick County,Frederick County,2026-01-30,Dan Cox for Governor,www.dancoxforgovernor.com,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.
Ed Hale,Tyrone Keys Jr.,Republican,Active,Talbot County,Baltimore County,2026-02-09,Hale for Gov,www.haleforgov.com,Facebook.com/Ed Hale for Governor,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.
Douglas Larcomb,Martina D. Duncan,Republican,Active,Carroll County,Frederick County,2026-02-24,People Of Maryland For Douglas Larcomb - Governor,,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.
John A. Myrick,Brenda J. Thiam,Republican,Active,Prince George's County,Washington County,2025-02-26,John Myrick for Governor,www.johnmyrickformdgovernor.org,facebook.com/profilep2p?id=61571896501886,@JohnMyrickforMD,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.
Michael Oakes,Ronald W. Abend,Republican,Active,Carroll County,Carroll County,2026-02-11,Oakes for Governor,,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.
Nancy Jane Taylor,"Rachel Hannah ""Mohawk"" Swift",Republican,Active,Washington County,Washington County,2026-02-17,Governor Taylor Won,,Facebook.com/MohawkSwift,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.
Shannon Wright,Reba A. Hawkins,Republican,Active,Baltimore City,Baltimore City,2026-03-12,Wright4Maryland (Shannon),wright4Baltimore.com,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE active Republican governor ticket as of the May 20 2026 08:45 candidate list.
Kurt Wedekind,Shannon Wright,Republican,Disqualified,Carroll County,Baltimore City,2025-09-24,Friends of Kurt Wedekind,www.Kurtwedekind.com,,,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Official SBE list marks this former Republican ticket disqualified on March 6 2026; excluded from active forecast.
